"word";"in documents";"total"
"overcom";1.0;1.0
"overthrown";1.0;1.0
"pacif";5.0;6.0
"pack";2.0;2.0
"packag";1.0;1.0
"page";1.0;1.0
"paid";1.0;1.0
"palac";6.0;9.0
"panacan";1.0;1.0
"paradigm";1.0;1.0
"pari";1.0;1.0
"parreno";1.0;2.0
"parrot";1.0;1.0
"part";5.0;5.0
"parti";8.0;13.0
"particip";3.0;3.0
"particular";3.0;3.0
"partner";4.0;6.0
"partnership";5.0;8.0
"pass";1.0;2.0
"path";1.0;2.0
"patient";1.0;3.0
"patrol";4.0;4.0
"paulyn";1.0;1.0
"pave";1.0;1.0
"peac";14.0;32.0
"peacekeep";2.0;2.0
"peopl";16.0;66.0
"percent";4.0;5.0
"perfecto";1.0;1.0
"period";1.0;1.0
"peripheri";1.0;1.0
"permit";2.0;2.0
"perpetu";1.0;1.0
"person";4.0;6.0
"personnel";4.0;5.0
"perspect";1.0;1.0
"peso";1.0;3.0
"petit";1.0;2.0
"phiblex";1.0;1.0
"phil";2.0;2.0
"philippin";42.0;260.0
"picquart";1.0;2.0
"pierr";1.0;1.0
"pilipina";3.0;5.0
"pineappl";3.0;3.0
"pivot";1.0;1.0
"place";4.0;4.0
"plagu";1.0;1.0
"plan";12.0;18.0
"planet";1.0;1.0
"plant";3.0;6.0
"platform";2.0;2.0
"plead";1.0;1.0
"pleas";1.0;1.0
"pleasur";2.0;2.0
"pledg";2.0;2.0
"plight";1.0;2.0
"plot";1.0;1.0
"point";2.0;3.0
"polic";2.0;4.0
"policemen";1.0;1.0
"polici";11.0;18.0
"polit";7.0;11.0
"politician";2.0;2.0
"poor";1.0;1.0
"port";1.0;1.0
"pose";2.0;2.0
"posit";6.0;8.0
"possibl";2.0;2.0
"post";2.0;2.0
"potenti";5.0;6.0
"poverti";3.0;3.0
"power";1.0;1.0
"practic";2.0;8.0
"prais";1.0;1.0
"predecessor";3.0;5.0
"predict";1.0;1.0
"predomin";1.0;1.0
"preferenti";2.0;2.0
"prejudic";2.0;2.0
"premier";3.0;5.0
"premis";2.0;2.0
"prepar";3.0;5.0
"presenc";1.0;1.0
"present";1.0;1.0
"preserv";2.0;2.0
"presid";42.0;85.0
"presidenti";9.0;13.0
"press";3.0;4.0
"prevent";3.0;5.0
"previous";2.0;3.0
"prime";9.0;11.0
"princ";1.0;2.0
"principl";4.0;13.0
"prior";1.0;1.0
"prioriti";4.0;7.0
"probe";1.0;1.0
"problem";6.0;7.0
"process";5.0;5.0
"procur";2.0;2.0
"product";6.0;11.0
"profession";2.0;2.0
"professor";2.0;3.0
"program";5.0;12.0
"progress";5.0;6.0
"prohibit";1.0;1.0
"project";6.0;11.0
"promis";2.0;2.0
"promot";7.0;18.0
"prompt";3.0;3.0
"proof";1.0;1.0
"proper";5.0;7.0
"properti";2.0;2.0
"propos";3.0;3.0
"prosper";5.0;5.0
"protect";6.0;7.0
"protest";1.0;1.0
"protocol";2.0;2.0
"prove";2.0;2.0
"provid";6.0;6.0
"provinc";4.0;4.0
"provoc";1.0;3.0
"publish";1.0;1.0
"purpos";3.0;4.0
"pursu";9.0;10.0
"purwanto";1.0;2.0
"push";2.0;2.0
"pusher";2.0;2.0
"pushov";1.0;1.0
"qualiti";4.0;5.0
"quarantin";3.0;6.0
"question";1.0;1.0
"quot";1.0;1.0
"rail";1.0;1.0
"railway";1.0;1.0
"rais";2.0;3.0
"rajaratnam";1.0;1.0
"ramon";2.0;2.0
"rank";3.0;3.0
"rappler";1.0;1.0
"rapporteur";1.0;3.0
"reach";5.0;8.0
"read";1.0;1.0
"readi";8.0;12.0
"reaffirm";4.0;9.0
"realign";1.0;1.0
"realiz";3.0;8.0
"reason";3.0;3.0
"rebalanc";1.0;1.0
"recal";3.0;3.0
"recalcitr";1.0;1.0
"receiv";1.0;1.0
"recent";4.0;4.0
"rechilda";1.0;1.0
"reciproc";2.0;2.0
"recogn";3.0;6.0
"recognit";2.0;3.0
"refer";2.0;2.0
"reflect";1.0;1.0
"reform";5.0;12.0
"regard";7.0;10.0
"region";11.0;35.0
"regul";2.0;2.0
"regular";3.0;3.0
"rehabilit";6.0;11.0
"reign";1.0;1.0
"reinforc";2.0;3.0
"reiter";8.0;8.0
"relaps";1.0;1.0
"relat";17.0;52.0
"relationship";8.0;18.0
"releas";5.0;5.0
"relentless";1.0;1.0
"relev";5.0;10.0
"relief";2.0;2.0
"remain";5.0;5.0
"remark";7.0;11.0
"renew";2.0;2.0
"repeat";1.0;1.0
"report";7.0;9.0
"repres";4.0;4.0
"represent";2.0;2.0
"republ";3.0;54.0
"request";2.0;2.0
"research";2.0;8.0
"reserv";4.0;4.0
"resolut";1.0;1.0
"resolv";3.0;3.0
"resort";2.0;2.0
"resourc";2.0;2.0
"respect";5.0;9.0
"respons";6.0;6.0
"rest";2.0;2.0
"restart";1.0;1.0
"restor";3.0;3.0
"restraint";2.0;2.0
"result";6.0;7.0
"resum";3.0;3.0
"retir";1.0;1.0
"return";6.0;6.0
"reveal";1.0;1.0
"revenu";1.0;1.0
"rever";1.0;1.0
"revers";1.0;1.0
"review";1.0;3.0
"revit";1.0;1.0
"rice";2.0;4.0
"right";4.0;8.0
"rise";1.0;1.0
"road";1.0;1.0
"roadmap";1.0;1.0
"rock";1.0;1.0
"rodrigo";41.0;52.0
"role";4.0;7.0
"roll";1.0;2.0
"ronni";1.0;1.0
"room";2.0;2.0
"rope";1.0;1.0
"rose";1.0;1.0
"rotat";1.0;1.0
